#PATH-POINTS-START Path0
-43.905, 0.196, 99.996
-43.905, 2.196, 99.998
-43.905, 4.196, 99.999
-43.905, 6.196, 99.999
-43.905, 8.196, 97.693
-43.905, 10.196, 95.058
-43.905, 12.196, 92.347
-43.905, 14.196, 89.554
-43.905, 16.196, 86.672
-43.905, 18.196, 83.69
-43.905, 20.196, 80.598
-43.905, 22.196, 77.382
-43.905, 24.196, 74.027
-43.905, 26.196, 70.512
-43.905, 28.196, 66.813
-43.905, 30.196, 62.897
-43.905, 32.196, 58.72
-43.905, 34.196, 54.222
-43.905, 36.196, 49.315
-43.905, 38.196, 43.863
-43.905, 40.196, 37.63
-43.905, 42.196, 30.133
-43.905, 44.196, 20
-43.905, 45.128, 0
-43.905, 45.128, 0
-43.904, 65.128, 0
endData
#PATH-POINTS-START Path1
-43.905, 45.128, 43.863
-45.905, 45.128, 37.63
-47.905, 45.128, 30.133
-49.905, 45.128, 20
-50.6, 45.128, 0
-50.6, 45.128, 0
-70.6, 45.128, 0
endData
#PATH-POINTS-START Path2
-50.6, 45.128, 43.863
-48.6, 45.128, 37.63
-46.6, 45.128, 30.133
-44.6, 45.128, 20
-43.6, 45.128, 0
-43.6, 45.128, 0
-23.6, 45.128, 0
endData
#PATH-POINTS-START Path3
-43.6, 45.128, 71.207
-43.115, 47.068, 67.546
-42.63, 49.009, 63.675
-42.145, 50.949, 59.552
-41.66, 52.889, 55.123
-41.175, 54.829, 50.304
-40.689, 56.77, 44.972
-40.204, 58.71, 38.917
-39.355, 60.455, 31.963
-37.65, 61.482, 80.332
-35.773, 62.169, 89.798
-33.843, 62.691, 92.327
-31.888, 63.11, 95.351
-29.919, 63.462, 96.276
-27.942, 63.764, 96.97
-25.959, 64.026, 97.912
-23.972, 64.254, 98.237
-21.983, 64.458, 98.497
-19.991, 64.64, 98.708
-17.998, 64.803, 98.881
-16.003, 64.951, 99.024
-14.007, 65.084, 99.024
-12.011, 65.203, 99.143
-10.014, 65.312, 99.244
-8.016, 65.411, 99.329
-6.019, 65.502, 99.403
-4.02, 65.584, 99.466
-2.022, 65.659, 99.466
-0.023, 65.726, 99.521
1.976, 65.787, 99.261
3.976, 65.843, 96.669
5.975, 65.894, 94.004
7.974, 65.939, 91.262
9.974, 65.98, 88.435
11.974, 66.017, 85.515
13.973, 66.049, 82.491
15.973, 66.078, 79.353
17.973, 66.103, 76.084
19.973, 66.126, 72.669
21.973, 66.145, 69.086
23.973, 66.162, 65.306
25.973, 66.176, 61.293
27.973, 66.188, 56.999
29.973, 66.197, 52.353
31.973, 66.205, 47.253
33.973, 66.211, 41.531
35.973, 66.215, 34.883
37.973, 66.217, 26.624
40.763, 66.219, 0
40.763, 66.219, 0
60.763, 66.23, 0
endData
#PATH-POINTS-START Path4
45.348, 52, 58.72
43.348, 52, 54.222
41.348, 52, 49.315
39.348, 52, 43.863
37.348, 52, 37.63
35.348, 52, 30.133
33.348, 52, 20
33, 52, 0
33, 52, 0
13, 52, 0
endData
#PATH-POINTS-START Path5
33, 52, 66.861
35, 52, 62.948
37, 52, 58.774
39, 52, 54.281
41, 52, 49.38
43, 52, 43.936
45, 52, 37.715
47, 52, 30.239
49, 52, 20.159
50.6, 52, 0
50.6, 52, 0
70.6, 52, 0
endData
#PATH-POINTS-START Path6
50.6, 52, 70.512
48.6, 52, 66.813
46.6, 52, 62.897
44.6, 52, 58.72
42.6, 52, 54.222
40.6, 52, 49.315
38.6, 52, 43.863
36.6, 52, 37.63
34.6, 52, 30.133
32.6, 52, 20
32, 52, 0
32, 52, 0
12, 52, 0
endData
#PATH-POINTS-START Path7
33, 52, 58.72
35, 52, 54.222
37, 52, 49.315
39, 52, 43.863
41, 52, 37.63
43, 52, 30.133
45, 52, 20
45.348, 52, 0
45.348, 52, 0
65.348, 52, 0
endData
#PATH-POINTS-START Path8
45.348, 52, 100
45.342, 50, 100
45.335, 48, 100
45.329, 46, 100
45.322, 44, 100
45.316, 42, 100
45.309, 40, 100
45.303, 38, 100
45.297, 36, 100
45.29, 34, 100
45.284, 32, 100
45.277, 30, 100
45.271, 28, 100
45.265, 26, 100
45.258, 24, 100
45.252, 22, 100
45.245, 20, 100
45.239, 18, 100
45.232, 16, 100
45.226, 14, 100
45.22, 12, 100
45.213, 10, 100
45.207, 8, 100
45.2, 6, 100
45.194, 4, 100
45.187, 2, 100
45.181, 0, 100
45.175, -2, 100
45.168, -4, 100
45.162, -6, 97.693
45.155, -8, 95.058
45.149, -10, 92.347
45.143, -12, 89.554
45.136, -14, 86.672
45.13, -16, 83.69
45.123, -18, 80.598
45.117, -20, 77.382
45.11, -22, 74.027
45.104, -24, 70.512
45.098, -26, 66.813
45.091, -28, 62.897
45.085, -30, 58.72
45.078, -32, 54.222
45.072, -34, 49.315
45.065, -36, 43.863
45.059, -38, 37.63
45.053, -40, 30.133
45.046, -42, 20
45.043, -43, 0
45.043, -43, 0
44.979, -63, 0
endData
#PATH-POINTS-START Path9
45.043, -43, 37.63
47.043, -43, 30.133
49.043, -43, 20
50.6, -43, 0
50.6, -43, 0
70.6, -43, 0
endData
#PATH-POINTS-START Path10
50.6, -43, 37.63
48.6, -43, 30.133
