#PATH-POINTS-START Path0
-45.261, 12.247, 77.382
-43.429, 13.049, 74.027
-41.596, 13.85, 70.512
-39.764, 14.652, 66.813
-37.932, 15.453, 62.897
-36.099, 16.255, 58.72
-34.267, 17.057, 54.222
-32.435, 17.858, 49.315
-30.602, 18.66, 43.863
-28.77, 19.461, 37.63
-26.938, 20.263, 30.133
-25.105, 21.065, 20
-24.325, 21.406, 0
-24.325, 21.406, 0
-6.002, 29.422, 0
endData
#PATH-POINTS-START Path1
-24.325, 21.406, 94.063
-24.976, 23.297, 93.561
-25.693, 25.164, 93.035
-26.499, 26.994, 91.924
-27.39, 28.784, 90.778
-28.379, 30.522, 90.214
-29.477, 32.193, 89.16
-30.685, 33.787, 88.291
-32.004, 35.289, 86.938
-33.435, 36.685, 83.967
-34.972, 37.964, 80.887
-36.605, 39.117, 77.684
-38.321, 40.143, 74.344
-40.107, 41.043, 70.846
-41.949, 41.821, 67.165
-43.835, 42.486, 63.271
-45.753, 43.05, 59.121
-47.696, 43.525, 54.657
-49.656, 43.921, 49.794
-51.63, 44.243, 44.401
-53.612, 44.509, 38.256
-55.601, 44.719, 30.911
-57.594, 44.886, 21.155
-59.352, 45, 0
-59.352, 45, 0
-79.31, 46.297, 0
endData
#PATH-POINTS-START Path2
-59.352, 45, 92.977
-57.353, 44.941, 90.204
-55.354, 44.882, 87.343
-53.355, 44.824, 84.385
-51.355, 44.765, 81.319
-49.356, 44.706, 78.133
-47.357, 44.647, 74.812
-45.358, 44.589, 71.336
-43.359, 44.53, 67.682
-41.36, 44.471, 63.819
-39.361, 44.412, 59.706
-37.361, 44.354, 55.288
-35.362, 44.295, 50.486
-33.363, 44.236, 45.175
-31.364, 44.177, 39.151
-29.365, 44.119, 32.013
-27.366, 44.06, 22.734
-25.332, 44, 0
-25.332, 44, 0
-5.341, 43.412, 0
endData
#PATH-POINTS-START Path3
-25.332, 44, 93.252
-27.331, 44.058, 90.487
-29.33, 44.117, 87.635
-31.329, 44.175, 84.687
-33.329, 44.234, 81.632
-35.328, 44.292, 78.459
-37.327, 44.351, 75.152
-39.326, 44.409, 71.693
-41.325, 44.467, 68.058
-43.324, 44.526, 64.217
-45.323, 44.584, 60.132
-47.323, 44.643, 55.748
-49.322, 44.701, 50.989
-51.321, 44.759, 45.737
-53.32, 44.818, 39.798
-55.319, 44.876, 32.8
-57.318, 44.935, 23.829
-59.553, 45, 0
-59.553, 45, 0
-79.544, 45.584, 0
endData
