#PATH-POINTS-START Path0
-45.261, -12.247, 77.382
-43.429, -13.049, 74.027
-41.596, -13.85, 70.512
-39.764, -14.652, 66.813
-37.932, -15.453, 62.897
-36.099, -16.255, 58.72
-34.267, -17.057, 54.222
-32.435, -17.858, 49.315
-30.602, -18.66, 43.863
-28.77, -19.461, 37.63
-26.938, -20.263, 30.133
-25.105, -21.065, 20
-24.325, -21.406, 0
-24.325, -21.406, 0
-6.002, -29.422, 0
endData
#PATH-POINTS-START Path1
-24.325, -21.406, 94.073
-24.976, -23.297, 93.584
-25.693, -25.164, 93.075
-26.498, -26.994, 92.017
-27.388, -28.785, 90.953
-28.374, -30.525, 90.442
-29.466, -32.2, 89.517
-30.665, -33.8, 88.801
-31.971, -35.313, 87.571
-33.385, -36.728, 84.621
-34.899, -38.033, 81.565
-36.504, -39.225, 78.39
-38.19, -40.301, 75.081
-39.944, -41.262, 71.618
-41.752, -42.115, 67.98
-43.604, -42.869, 64.136
-45.489, -43.536, 60.045
-47.401, -44.125, 55.655
-49.333, -44.639, 50.887
-51.28, -45.096, 45.624
-53.239, -45.501, 39.668
-55.206, -45.86, 32.643
-57.18, -46.183, 23.613
-59.352, -46.5, 0
-59.352, -46.5, 0
-79.142, -49.392, 0
endData
#PATH-POINTS-START Path2
-59.352, -46.5, 92.957
-57.352, -46.5, 90.184
-55.352, -46.5, 87.322
-53.352, -46.5, 84.363
-51.352, -46.5, 81.296
-49.352, -46.5, 78.109
-47.352, -46.5, 74.787
-45.352, -46.5, 71.31
-43.352, -46.5, 67.654
-41.352, -46.5, 63.789
-39.352, -46.5, 59.675
-37.352, -46.5, 55.255
-35.352, -46.5, 50.449
-33.352, -46.5, 45.134
-31.352, -46.5, 39.103
-29.352, -46.5, 31.954
-27.352, -46.5, 22.651
-25.332, -46.5, 0
-25.332, -46.5, 0
-5.332, -46.5, 0
endData
#PATH-POINTS-START Path3
-25.332, -46.5, 93.276
-27.33, -46.412, 90.512
-29.328, -46.325, 87.661
-31.326, -46.237, 84.714
-33.324, -46.15, 81.661
-35.322, -46.062, 78.489
-37.32, -45.975, 75.183
-39.319, -45.887, 71.725
-41.317, -45.799, 68.092
-43.315, -45.712, 64.253
-45.313, -45.624, 60.17
-47.311, -45.537, 55.79
-49.309, -45.449, 51.034
-51.307, -45.361, 45.787
-53.305, -45.274, 39.856
-55.303, -45.186, 32.871
-57.301, -45.099, 23.927
-59.553, -45, 0
-59.553, -45, 0
-79.534, -44.124, 0
endData
